,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,627.828416932,1162.6258384881542,MIMIC,900,0.25,900,0.25
1,1,627.828416932,1162.6258384881542,MIMIC,900,0.25,900,0.25
2,2,627.828416932,1162.6258384881542,MIMIC,900,0.25,900,0.25
3,3,627.828416932,1124.9989120048306,MIMIC,900,0.25,900,0.25
4,4,627.828416932,1086.6937894094835,MIMIC,900,0.25,900,0.25
5,5,627.828416932,1086.6937894094835,MIMIC,900,0.25,900,0.25
6,6,627.828416932,1086.6937894094835,MIMIC,900,0.25,900,0.25
7,7,627.828416932,1086.6937894094835,MIMIC,900,0.25,900,0.25
8,8,627.828416932,1013.2855955052938,MIMIC,900,0.25,900,0.25
9,9,627.828416932,1008.4450907078848,MIMIC,900,0.25,900,0.25
10,10,627.828416932,1008.4450907078848,MIMIC,900,0.25,900,0.25
11,11,627.828416932,972.4849574619446,MIMIC,900,0.25,900,0.25
12,12,627.828416932,940.4818220578626,MIMIC,900,0.25,900,0.25
13,13,627.828416932,915.0415358419551,MIMIC,900,0.25,900,0.25
14,14,627.828416932,905.4817805292962,MIMIC,900,0.25,900,0.25
15,15,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
16,16,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
17,17,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
18,18,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
19,19,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
20,20,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
21,21,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
22,22,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
23,23,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
24,24,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
25,25,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
26,26,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
27,27,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
28,28,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
29,29,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
30,30,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
31,31,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
32,32,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
33,33,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
34,34,627.828416932,903.2457286575792,MIMIC,900,0.25,900,0.25
