,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,3.59401288,14.0,MIMIC,200,0.2,200,0.2
1,1,3.59401288,14.0,MIMIC,200,0.2,200,0.2
2,2,3.59401288,16.0,MIMIC,200,0.2,200,0.2
3,3,3.59401288,16.0,MIMIC,200,0.2,200,0.2
4,4,3.59401288,16.0,MIMIC,200,0.2,200,0.2
5,5,3.59401288,16.0,MIMIC,200,0.2,200,0.2
6,6,3.59401288,16.0,MIMIC,200,0.2,200,0.2
7,7,3.59401288,16.0,MIMIC,200,0.2,200,0.2
8,8,3.59401288,16.0,MIMIC,200,0.2,200,0.2
9,9,3.59401288,16.0,MIMIC,200,0.2,200,0.2
10,10,3.59401288,16.0,MIMIC,200,0.2,200,0.2
11,11,3.59401288,16.0,MIMIC,200,0.2,200,0.2
12,12,3.59401288,16.0,MIMIC,200,0.2,200,0.2
13,13,3.59401288,16.0,MIMIC,200,0.2,200,0.2
14,14,3.59401288,16.0,MIMIC,200,0.2,200,0.2
15,15,3.59401288,16.0,MIMIC,200,0.2,200,0.2
16,16,3.59401288,16.0,MIMIC,200,0.2,200,0.2
17,17,3.59401288,16.0,MIMIC,200,0.2,200,0.2
18,18,3.59401288,16.0,MIMIC,200,0.2,200,0.2
19,19,3.59401288,16.0,MIMIC,200,0.2,200,0.2
20,20,3.59401288,16.0,MIMIC,200,0.2,200,0.2
21,21,3.59401288,16.0,MIMIC,200,0.2,200,0.2
22,22,3.59401288,16.0,MIMIC,200,0.2,200,0.2
23,23,3.59401288,16.0,MIMIC,200,0.2,200,0.2
24,24,3.59401288,16.0,MIMIC,200,0.2,200,0.2
25,25,3.59401288,16.0,MIMIC,200,0.2,200,0.2
26,26,3.59401288,16.0,MIMIC,200,0.2,200,0.2
27,27,3.59401288,16.0,MIMIC,200,0.2,200,0.2
28,28,3.59401288,16.0,MIMIC,200,0.2,200,0.2
29,29,3.59401288,16.0,MIMIC,200,0.2,200,0.2
30,30,3.59401288,16.0,MIMIC,200,0.2,200,0.2
31,31,3.59401288,16.0,MIMIC,200,0.2,200,0.2
32,32,3.59401288,16.0,MIMIC,200,0.2,200,0.2
33,0,3.74731343,15.0,MIMIC,400,0.2,400,0.2
34,1,3.74731343,15.0,MIMIC,400,0.2,400,0.2
35,2,3.74731343,16.0,MIMIC,400,0.2,400,0.2
36,3,3.74731343,16.0,MIMIC,400,0.2,400,0.2
37,4,3.74731343,16.0,MIMIC,400,0.2,400,0.2
38,5,3.74731343,16.0,MIMIC,400,0.2,400,0.2
39,6,3.74731343,16.0,MIMIC,400,0.2,400,0.2
40,7,3.74731343,16.0,MIMIC,400,0.2,400,0.2
41,8,3.74731343,16.0,MIMIC,400,0.2,400,0.2
42,9,3.74731343,16.0,MIMIC,400,0.2,400,0.2
43,10,3.74731343,16.0,MIMIC,400,0.2,400,0.2
44,11,3.74731343,16.0,MIMIC,400,0.2,400,0.2
45,12,3.74731343,16.0,MIMIC,400,0.2,400,0.2
46,13,3.74731343,16.0,MIMIC,400,0.2,400,0.2
47,14,3.74731343,16.0,MIMIC,400,0.2,400,0.2
48,15,3.74731343,16.0,MIMIC,400,0.2,400,0.2
49,16,3.74731343,16.0,MIMIC,400,0.2,400,0.2
50,17,3.74731343,16.0,MIMIC,400,0.2,400,0.2
51,18,3.74731343,16.0,MIMIC,400,0.2,400,0.2
52,19,3.74731343,16.0,MIMIC,400,0.2,400,0.2
53,20,3.74731343,16.0,MIMIC,400,0.2,400,0.2
54,21,3.74731343,16.0,MIMIC,400,0.2,400,0.2
55,22,3.74731343,16.0,MIMIC,400,0.2,400,0.2
56,23,3.74731343,16.0,MIMIC,400,0.2,400,0.2
57,24,3.74731343,16.0,MIMIC,400,0.2,400,0.2
58,25,3.74731343,16.0,MIMIC,400,0.2,400,0.2
59,26,3.74731343,16.0,MIMIC,400,0.2,400,0.2
60,27,3.74731343,16.0,MIMIC,400,0.2,400,0.2
61,28,3.74731343,16.0,MIMIC,400,0.2,400,0.2
62,29,3.74731343,16.0,MIMIC,400,0.2,400,0.2
63,30,3.74731343,16.0,MIMIC,400,0.2,400,0.2
64,31,3.74731343,16.0,MIMIC,400,0.2,400,0.2
65,32,3.74731343,16.0,MIMIC,400,0.2,400,0.2
