,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,1,239.92731139856843,0.06778702900001576,[3 5 2 6 0 7 4 1],GA,200,0.55,200,0.55
1,2,239.92731139856843,0.10721005999999988,[3 5 2 6 0 7 4 1],GA,200,0.55,200,0.55
2,4,239.92731139856843,0.17972486600001503,[3 5 2 6 0 7 4 1],GA,200,0.55,200,0.55
3,8,239.22547365269074,0.3189356480000072,[2 6 5 3 1 4 7 0],GA,200,0.55,200,0.55
4,16,239.22547365269074,0.5996397400000149,[2 6 5 3 1 4 7 0],GA,200,0.55,200,0.55
5,32,239.2254736526907,1.163799001000001,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
6,64,239.2254736526907,2.3420535390000055,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
7,128,239.2254736526907,4.818054574000001,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
8,256,239.2254736526907,9.465283061999997,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
9,512,239.2254736526907,18.973853358000014,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
10,1024,239.2254736526907,36.804093146000014,[0 7 4 1 3 5 6 2],GA,200,0.55,200,0.55
11,1,239.92731139856843,0.06140730499998881,[3 5 2 6 0 7 4 1],GA,200,0.65,200,0.65
12,2,239.92731139856843,0.0969680230000165,[3 5 2 6 0 7 4 1],GA,200,0.65,200,0.65
13,4,239.92731139856843,0.16512880199999813,[3 5 2 6 0 7 4 1],GA,200,0.65,200,0.65
14,8,239.92731139856843,0.3036903169999903,[3 5 2 6 0 7 4 1],GA,200,0.65,200,0.65
15,16,239.22547365269074,0.5803787840000041,[7 0 2 6 5 3 1 4],GA,200,0.65,200,0.65
16,32,239.2254736526907,1.13739656300001,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
17,64,239.2254736526907,2.2460090970000124,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
18,128,239.2254736526907,4.520005018000006,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
19,256,239.2254736526907,9.16250808000001,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
20,512,239.2254736526907,18.02833456100001,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
21,1024,239.2254736526907,36.84543558300001,[0 7 4 1 3 5 6 2],GA,200,0.65,200,0.65
