,Iterations,Fitness,Time,State,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,1,1129.0621434434659,1.815956282,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
1,2,1129.0621434434659,3.354702669,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
2,4,1129.0621434434659,6.301483567000001,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
3,8,1129.0621434434659,12.330573377999999,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
4,16,1129.0621434434659,24.545507266,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
5,32,1129.0621434434659,63.676746616,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
6,64,1129.0621434434659,113.88148615899999,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
7,128,1129.0621434434659,217.945664,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
8,256,1129.0621434434659,426.08769337300004,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.05,450,0.05
9,1,1129.0621434434659,1.645420521999995,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",MIMIC,450,0.1,450,0.1
10,2,1116.3691751406204,3.1932454160000248,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7  8 31 21 13 20
 29  5 25 14  2 16 15 10]",MIMIC,450,0.1,450,0.1
11,4,1116.3691751406204,6.115913442000021,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7  8 31 21 13 20
 29  5 25 14  2 16 15 10]",MIMIC,450,0.1,450,0.1
12,8,1116.3691751406204,12.78248422400003,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7  8 31 21 13 20
 29  5 25 14  2 16 15 10]",MIMIC,450,0.1,450,0.1
13,16,1116.3691751406204,25.392762616000027,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7  8 31 21 13 20
 29  5 25 14  2 16 15 10]",MIMIC,450,0.1,450,0.1
14,32,1116.3691751406204,54.70824474300002,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7  8 31 21 13 20
 29  5 25 14  2 16 15 10]",MIMIC,450,0.1,450,0.1
15,64,1112.4217738613047,120.28504928100006,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31 21 13 20
 29  5 25 14  2 16 15  8]",MIMIC,450,0.1,450,0.1
16,128,1112.4217738613047,238.737935151,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31 21 13 20
 29  5 25 14  2 16 15  8]",MIMIC,450,0.1,450,0.1
17,256,1112.4217738613047,431.54752163399996,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31 21 13 20
 29  5 25 14  2 16 15  8]",MIMIC,450,0.1,450,0.1
