,Iterations,Fitness,Time,State,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,1,14.0,0.1342811060000031,[0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
1,2,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
2,4,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
3,8,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
4,16,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
5,32,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
6,64,15.0,0.2475707569999912,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],MIMIC,450,0.25,450,0.25
