,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,1,9.0,0.00038224500000039185,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,30
1,2,9.0,0.000869690000000034,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,30
2,4,11.0,0.001376687000000043,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,30
3,8,13.0,0.0020817580000001,[1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1],RHC,0,30
4,16,14.0,0.0029067660000001716,[1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1],RHC,0,30
5,32,15.0,0.004121363000000322,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1],RHC,0,30
6,64,16.0,0.0059426600000000995,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,0,30
7,128,16.0,0.009830809999999968,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,0,30
8,256,16.0,0.018438418000000123,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,0,30
9,512,16.0,0.037824765000000315,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,0,30
10,1,9.0,0.03866525700000034,[1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1],RHC,1,30
11,2,10.0,0.03887415700000041,[1 1 0 0 1 0 1 1 0 0 1 1 1 1 0 1],RHC,1,30
12,4,10.0,0.039097190000000115,[1 1 0 0 1 0 1 1 0 0 1 1 1 1 0 1],RHC,1,30
13,8,13.0,0.039420779000000294,[1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1],RHC,1,30
14,16,14.0,0.03986761400000027,[1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1],RHC,1,30
15,32,14.0,0.04060450100000024,[1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1],RHC,1,30
16,64,16.0,0.042186403000000094,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,1,30
17,128,16.0,0.04570498900000031,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,1,30
18,256,16.0,0.052853001000000344,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,1,30
19,512,16.0,0.07237113400000039,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,1,30
20,1,10.0,0.07324570600000024,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1],RHC,2,30
21,2,10.0,0.07347286800000008,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1],RHC,2,30
22,4,10.0,0.07377907000000006,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1],RHC,2,30
23,8,10.0,0.07423507400000018,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1],RHC,2,30
24,16,14.0,0.07506394500000013,[1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1],RHC,2,30
25,32,15.0,0.07680508100000027,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1],RHC,2,30
26,64,16.0,0.07970763300000039,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,2,30
27,128,16.0,0.08521053099999998,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,2,30
28,256,16.0,0.09744413900000026,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,2,30
29,512,16.0,0.12596625800000005,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,2,30
30,1,8.0,0.12691053600000002,[0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1],RHC,3,30
31,2,9.0,0.12719562000000018,[0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1],RHC,3,30
32,4,9.0,0.12757577100000006,[0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1],RHC,3,30
33,8,11.0,0.1281985210000003,[0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1],RHC,3,30
34,16,13.0,0.129390495,[1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1],RHC,3,30
35,32,15.0,0.13150544100000028,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,3,30
36,64,15.0,0.13558317600000036,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,3,30
37,128,16.0,0.14449425100000024,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,3,30
38,256,16.0,0.16352568000000023,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,3,30
39,512,16.0,0.2039535950000002,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,3,30
40,1,9.0,0.205049072,[0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0],RHC,4,30
41,2,10.0,0.20539218000000004,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0],RHC,4,30
42,4,12.0,0.2059087970000002,[1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0],RHC,4,30
43,8,12.0,0.20676946900000015,[1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0],RHC,4,30
44,16,12.0,0.20819400300000002,[1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0],RHC,4,30
45,32,15.0,0.21127346100000022,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0],RHC,4,30
46,64,16.0,0.21662819700000036,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,4,30
47,128,16.0,0.22889398400000038,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,4,30
48,256,16.0,0.25429761900000036,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,4,30
49,512,16.0,0.30578227300000016,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,4,30
50,1,8.0,0.3070099530000001,[0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1],RHC,5,30
51,2,9.0,0.3073708800000001,[0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1],RHC,5,30
52,4,11.0,0.3079237570000002,[0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1],RHC,5,30
53,8,12.0,0.30885777800000014,[0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1],RHC,5,30
54,16,14.0,0.31090615200000027,[0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],RHC,5,30
55,32,16.0,0.31442484000000004,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,5,30
56,64,16.0,0.32124115300000033,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,5,30
57,128,16.0,0.33427016200000015,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,5,30
58,256,16.0,0.3613878480000001,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],RHC,5,30
