,Iteration,Time,Fitness,runner_name,schedule,Temperature
0,0,1.9635566860000002,397.6856192948769,SA,1,1
1,1,1.9635566860000002,397.6856192948769,SA,1,1
2,2,1.9635566860000002,397.6856192948769,SA,1,1
3,3,1.9635566860000002,394.25268355950817,SA,1,1
4,4,1.9635566860000002,394.25268355950817,SA,1,1
5,5,1.9635566860000002,380.4930790936264,SA,1,1
6,6,1.9635566860000002,351.39684261206344,SA,1,1
7,7,1.9635566860000002,329.5775463739984,SA,1,1
8,8,1.9635566860000002,307.5830196332887,SA,1,1
9,9,1.9635566860000002,307.5830196332887,SA,1,1
10,10,1.9635566860000002,307.5830196332887,SA,1,1
11,11,1.9635566860000002,307.5830196332887,SA,1,1
12,12,1.9635566860000002,307.5830196332887,SA,1,1
13,13,1.9635566860000002,307.5830196332887,SA,1,1
14,14,1.9635566860000002,307.5830196332887,SA,1,1
15,15,1.9635566860000002,307.5830196332887,SA,1,1
16,16,1.9635566860000002,307.5830196332887,SA,1,1
17,17,1.9635566860000002,307.5830196332887,SA,1,1
18,18,1.9635566860000002,307.5830196332887,SA,1,1
19,19,1.9635566860000002,307.5830196332887,SA,1,1
20,20,1.9635566860000002,305.4836699297337,SA,1,1
21,21,1.9635566860000002,305.4836699297337,SA,1,1
22,22,1.9635566860000002,305.4836699297337,SA,1,1
23,23,1.9635566860000002,305.4836699297337,SA,1,1
24,24,1.9635566860000002,305.4836699297337,SA,1,1
25,25,1.9635566860000002,305.4836699297337,SA,1,1
26,26,1.9635566860000002,305.4836699297337,SA,1,1
27,27,1.9635566860000002,305.4836699297337,SA,1,1
28,28,1.9635566860000002,305.4836699297337,SA,1,1
29,29,1.9635566860000002,305.4836699297337,SA,1,1
30,30,1.9635566860000002,288.7468759396365,SA,1,1
31,31,1.9635566860000002,288.7468759396365,SA,1,1
32,32,1.9635566860000002,288.7468759396365,SA,1,1
33,33,1.9635566860000002,249.9298525323842,SA,1,1
34,34,1.9635566860000002,249.9298525323842,SA,1,1
35,35,1.9635566860000002,249.9298525323842,SA,1,1
36,36,1.9635566860000002,249.9298525323842,SA,1,1
37,37,1.9635566860000002,249.9298525323842,SA,1,1
38,38,1.9635566860000002,249.9298525323842,SA,1,1
39,39,1.9635566860000002,249.9298525323842,SA,1,1
40,40,1.9635566860000002,249.9298525323842,SA,1,1
41,41,1.9635566860000002,249.9298525323842,SA,1,1
42,42,1.9635566860000002,249.9298525323842,SA,1,1
43,43,1.9635566860000002,249.9298525323842,SA,1,1
44,44,1.9635566860000002,249.9298525323842,SA,1,1
45,45,1.9635566860000002,249.9298525323842,SA,1,1
46,46,1.9635566860000002,249.9298525323842,SA,1,1
47,47,1.9635566860000002,249.9298525323842,SA,1,1
48,48,1.9635566860000002,249.9298525323842,SA,1,1
49,49,1.9635566860000002,249.9298525323842,SA,1,1
50,50,1.9635566860000002,249.9298525323842,SA,1,1
51,51,1.9635566860000002,249.9298525323842,SA,1,1
52,52,1.9635566860000002,249.9298525323842,SA,1,1
53,53,1.9635566860000002,249.9298525323842,SA,1,1
54,54,1.9635566860000002,249.9298525323842,SA,1,1
55,55,1.9635566860000002,249.9298525323842,SA,1,1
56,56,1.9635566860000002,249.9298525323842,SA,1,1
