,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,137.9200921380001,239.22547365269074,MIMIC,900,0.25,900,0.25
1,1,137.9200921380001,239.22547365269074,MIMIC,900,0.25,900,0.25
2,2,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
3,3,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
4,4,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
5,5,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
6,6,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
7,7,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
8,8,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
9,9,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
10,10,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
11,11,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
12,12,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
13,13,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
14,14,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
15,15,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
16,16,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
17,17,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
18,18,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
19,19,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
20,20,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
21,21,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
22,22,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
23,23,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
24,24,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
25,25,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
26,26,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
27,27,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
28,28,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
29,29,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
30,30,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
31,31,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
32,32,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
33,33,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
34,34,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
35,35,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
36,36,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
37,37,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
38,38,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
39,39,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
40,40,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
41,41,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
42,42,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
43,43,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
44,44,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
45,45,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
46,46,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
47,47,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
48,48,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
49,49,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
50,50,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
51,51,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
52,52,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
53,53,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
54,54,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
55,55,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
56,56,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
57,57,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
58,58,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
59,59,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
60,60,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
61,61,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
62,62,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
63,63,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
64,64,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
65,65,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
66,66,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
67,67,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
68,68,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
69,69,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
70,70,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
71,71,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
72,72,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
73,73,137.9200921380001,239.2254736526907,MIMIC,900,0.25,900,0.25
