,Iteration,Time,Fitness,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,0,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
1,1,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
2,2,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
3,3,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
4,4,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
5,5,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
6,6,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
7,7,101.890422731,1129.0621434434659,GA,200,0.55,200,0.55
8,8,101.890422731,1122.8780828572712,GA,200,0.55,200,0.55
9,9,101.890422731,1122.8780828572712,GA,200,0.55,200,0.55
10,10,101.890422731,1122.8780828572712,GA,200,0.55,200,0.55
11,11,101.890422731,1122.8780828572712,GA,200,0.55,200,0.55
12,12,101.890422731,1092.050883377034,GA,200,0.55,200,0.55
13,13,101.890422731,1092.050883377034,GA,200,0.55,200,0.55
14,14,101.890422731,1092.050883377034,GA,200,0.55,200,0.55
15,15,101.890422731,1092.050883377034,GA,200,0.55,200,0.55
16,16,101.890422731,1056.0049570938374,GA,200,0.55,200,0.55
17,17,101.890422731,949.842569898657,GA,200,0.55,200,0.55
18,18,101.890422731,949.842569898657,GA,200,0.55,200,0.55
19,19,101.890422731,949.842569898657,GA,200,0.55,200,0.55
20,20,101.890422731,949.842569898657,GA,200,0.55,200,0.55
21,21,101.890422731,949.842569898657,GA,200,0.55,200,0.55
22,22,101.890422731,949.842569898657,GA,200,0.55,200,0.55
23,23,101.890422731,949.842569898657,GA,200,0.55,200,0.55
24,24,101.890422731,949.842569898657,GA,200,0.55,200,0.55
25,25,101.890422731,949.842569898657,GA,200,0.55,200,0.55
26,26,101.890422731,949.842569898657,GA,200,0.55,200,0.55
27,27,101.890422731,949.842569898657,GA,200,0.55,200,0.55
28,28,101.890422731,949.842569898657,GA,200,0.55,200,0.55
29,29,101.890422731,949.842569898657,GA,200,0.55,200,0.55
30,30,101.890422731,949.842569898657,GA,200,0.55,200,0.55
31,31,101.890422731,949.842569898657,GA,200,0.55,200,0.55
32,32,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
33,33,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
34,34,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
35,35,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
36,36,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
37,37,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
38,38,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
39,39,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
40,40,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
41,41,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
42,42,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
43,43,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
44,44,101.890422731,889.2843222245924,GA,200,0.55,200,0.55
45,45,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
46,46,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
47,47,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
48,48,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
49,49,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
50,50,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
51,51,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
52,52,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
53,53,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
54,54,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
55,55,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
56,56,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
57,57,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
58,58,101.890422731,882.1602060464198,GA,200,0.55,200,0.55
59,59,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
60,60,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
61,61,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
62,62,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
63,63,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
64,64,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
65,65,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
66,66,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
67,67,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
68,68,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
69,69,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
70,70,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
71,71,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
72,72,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
73,73,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
74,74,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
75,75,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
76,76,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
77,77,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
78,78,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
79,79,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
80,80,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
81,81,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
82,82,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
83,83,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
84,84,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
85,85,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
86,86,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
87,87,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
88,88,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
89,89,101.890422731,820.0098447336708,GA,200,0.55,200,0.55
90,90,101.890422731,817.2306554344086,GA,200,0.55,200,0.55
91,91,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
92,92,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
93,93,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
94,94,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
95,95,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
96,96,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
97,97,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
98,98,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
99,99,101.890422731,805.8347884261073,GA,200,0.55,200,0.55
100,100,101.890422731,790.4245443826952,GA,200,0.55,200,0.55
101,101,101.890422731,790.4245443826952,GA,200,0.55,200,0.55
102,102,101.890422731,787.943267941975,GA,200,0.55,200,0.55
103,103,101.890422731,787.943267941975,GA,200,0.55,200,0.55
104,104,101.890422731,787.943267941975,GA,200,0.55,200,0.55
105,105,101.890422731,787.943267941975,GA,200,0.55,200,0.55
